property_name,property_address,Estate_name
Furnished 2bdrm Apartment in Westlands for Rent,RHAPTA ROAD,"138
     
      sqm"
"1bdrm Apartment in Lenana, Kilimani for rent",Ngongroad lenana,Lenana
1bdrm Apartment in South C for Rent,Nextgen Mall,Renovated
"1bdrm Apartment in Rayohproperty, Tudor for Rent",ray,RAYOHPROPERTY
1bdrm Apartment in Ruiru Mugutha for rent,Ruiru Mugutha,Ruiru Mugutha
1bdrm Bedsitter in Ruai for rent,Ruai 26,Ruai
2bdrm Apartment in Thindigua/Kasarini for rent,"Thindigua, Kiambu road.","112
     
      sqm"
5bdrm Maisonette in Kitengela for rent,Kitengela,Kitengela
"2bdrm Apartment in Othaya Road, Kileleshwa for rent",Kileleshwa Nairobi,Othaya Road
1bdrm Apartment in Umoja for rent,Umoja Innercore,Umoja
"1bdrm Bedsitter in Karunga Heights, Kiambu / Kiambu for rent",Kiambu -Ndumberi Road,Karunga Heights
"Furnished 2bdrm Apartment in Arboretum, State House Area for rent",Kolobot Drive,Arboretum
"3bdrm Apartment in Valley Arcade, Lavington for rent",Lavington Nairobi,Valley Arcade
One Bedrooms Near Tmall,Tmall,Renovated
2bdrm Apartment in Ruaka for rent,Ruaka,"112
     
      sqm"
"4bdrm Duplex in Valley Arcade, Lavington for rent",Lavington Nairobi,Valley Arcade
"3bdrm Apartment in Riana, State House Area for Rent",Dennis pritt road,riana
5bdrm Townhouse / Terrace in Westlands for rent,Spring Valley,"350
     
      sqm"
Kilimani Spacious One Bedroom Apartment for Rent,No,5
"5bdrm Mansion in Balozi, Kitengela for rent",Balozi,Balozi
2bdrm Apartment in Kileleshwa for rent,Kileleshwa,Kileleshwa
Two Bedrooms Master Ensuite Near Hotel Rio,Gadhi Avenue,Renovated
"4bdrm Bungalow in By Pass,Kamakis for rent","Ruiru ,by pass","By pass,kamakis"
3bdrm Apartment in Tudor for rent,tudor Norah,"2100
     
      sqm"
"5bdrm Maisonette in Kwihota Gatongora, Ruiru for rent",Ruiru Kwihota,Kwihota Gatongora
Furnished 1bdrm Apartment in Kilimani for Rent,6070-00200,kilimani
